"field","driveId","legacy0B","isFolder","url"
"slideUrl","1Y5pH93mg63mQF7PIQLlu3yKu1LSVogDz","","","https://drive.google.com/file/d/1Y5pH93mg63mQF7PIQLlu3yKu1LSVogDz/view"
"videoUrl","1Y4GSJRe9vGA1XcS28F0wGytN_sLmNJdI","","","https://drive.google.com/file/d/1Y4GSJRe9vGA1XcS28F0wGytN_sLmNJdI/view"
"slideUrl","1mClc-qRQXBlbs-1_da8q-wyYDbSdDRZ2","","","https://drive.google.com/file/d/1mClc-qRQXBlbs-1_da8q-wyYDbSdDRZ2/view"
"videoUrl","1Rhum-Q74LgSdvM4Lw1WdMC3C-rYVFgNv","","","https://drive.google.com/file/d/1Rhum-Q74LgSdvM4Lw1WdMC3C-rYVFgNv/view"
"slideUrl","1E79pduR2z2hQEIVpPr4HOsldNX4R_WMJ","","","https://drive.google.com/file/d/1E79pduR2z2hQEIVpPr4HOsldNX4R_WMJ/view"
"videoUrl","1_boL97sVR_L7dq2pbuyVhwpWTac4a41_","","","https://drive.google.com/file/d/1_boL97sVR_L7dq2pbuyVhwpWTac4a41_/view"
"slideUrl","1imvNgYnr-A2HtNT7XB8GUSWDo2_uEKXi","","","https://drive.google.com/file/d/1imvNgYnr-A2HtNT7XB8GUSWDo2_uEKXi/view"
"videoUrl","1YMnrqBUMFNIcL9Lg2ubTuCjN1gMFAh5u","","","https://drive.google.com/file/d/1YMnrqBUMFNIcL9Lg2ubTuCjN1gMFAh5u/view"
"slideUrl","1SfPME08GnahKktH61NAEgTsCeR0PbfKj","","","https://drive.google.com/file/d/1SfPME08GnahKktH61NAEgTsCeR0PbfKj/view"
"videoUrl","1VDSdATGMMOvYB_Y2g9KTtEFKCFIfCZVm","","","https://drive.google.com/file/d/1VDSdATGMMOvYB_Y2g9KTtEFKCFIfCZVm/view"
"slideUrl","1sJZP9Mv4326CWWm811ngLiAcPe-ogmHT","","","https://drive.google.com/file/d/1sJZP9Mv4326CWWm811ngLiAcPe-ogmHT/view"
"videoUrl","10QeNLgKEpZNfaOOfRXeQWETfdAi4q1Na","","","https://drive.google.com/file/d/10QeNLgKEpZNfaOOfRXeQWETfdAi4q1Na/view"
"slideUrl","18lOfomSAUYlI4BR3vEHF1qowLlCRHTR3","","","https://drive.google.com/file/d/18lOfomSAUYlI4BR3vEHF1qowLlCRHTR3/view"
"videoUrl","1TYpucPM0Pe2DAYvqbFhncNf0e6NrjX-G","","","https://drive.google.com/file/d/1TYpucPM0Pe2DAYvqbFhncNf0e6NrjX-G/view"
"slideUrl","1ttjs7yq0Ul-VYfoBpsopY9Kvg-ZNRi-K","","","https://drive.google.com/file/d/1ttjs7yq0Ul-VYfoBpsopY9Kvg-ZNRi-K/view"
"videoUrl","1D6YFNI4zPUT2EuiU0bkoG7HEY5pIqzvI","","","https://drive.google.com/file/d/1D6YFNI4zPUT2EuiU0bkoG7HEY5pIqzvI/view"
"slideUrl","1XbEgpNXhTBIex63xSB6_BKfrRyobqMuh","","","https://drive.google.com/file/d/1XbEgpNXhTBIex63xSB6_BKfrRyobqMuh/view"
